================================================================================
意象统计总体信息
================================================================================

总词语数: 1,097,031
意象词语数: 185,149 (16.88%)
不同意象词语数: 45,899

================================================================================
所有意象词语频率排行（TOP 500）
================================================================================
排名    意象词语                 出现次数      
----------------------------------------
1     月                    3230      
2     雨                    1322      
3     年                    1122      
4     云                    1062      
5     日                    1046      
6     岁                    961       
7     黍                    719       
8     春                    660       
9     山庄                   603       
10    今朝                   594       
11    春雨                   552       
12    今日                   540       
13    春风                   514       
14    风                    460       
15    秋                    460       
16    今年                   438       
17    山                    432       
18    水                    431       
19    去岁                   409       
20    雪                    409       
21    江南                   366       
22    今岁                   356       
23    春水                   332       
24    当年                   327       
25    千秋                   322       
26    翠                    318       
27    天                    316       
28    秋风                   316       
29    去年                   294       
30    画                    290       
31    玉泉                   290       
32    玉                    285       
33    夜雨                   282       
34    朝                    279       
35    白云                   277       
36    花                    276       
37    三月                   270       
38    夕阳                   268       
39    西山                   267       
40    岁月                   266       
41    山水                   263       
42    秋月                   262       
43    树                    261       
44    假山                   261       
45    六月                   260       
46    峰                    260       
47    春秋                   250       
48    春光                   249       
49    溪                    246       
50    金                    245       
51    祈年                   241       
52    天然                   228       
53    半月                   228       
54    香山                   225       
55    秋水                   222       
56    昨岁                   221       
57    傍晚                   220       
58    松                    218       
59    麦                    208       
60    风流                   206       
61    风月                   202       
62    月色                   202       
63    细雨                   197       
64    东风                   196       
65    竹                    196       
66    银河                   195       
67    夏                    194       
68    千年                   191       
69    一月                   190       
70    泉                    188       
71    天恩                   188       
72    弥月                   188       
73    百年                   188       
74    山房                   187       
75    柳                    186       
76    林                    185       
77    二月                   184       
78    石                    182       
79    山色                   180       
80    五月                   178       
81    仲春                   178       
82    风吹                   172       
83    金风                   170       
84    木兰                   169       
85    石桥                   166       
86    三年                   164       
87    西湖                   162       
88    常年                   159       
89    日月                   156       
90    芙蓉                   154       
91    天地                   153       
92    前朝                   152       
93    昨日                   151       
94    流泉                   150       
95    山阴                   150       
96    三日                   150       
97    山中                   144       
98    春日                   144       
99    岭                    142       
100   千载                   141       
101   当日                   141       
102   珠                    140       
103   万年                   140       
104   叶                    140       
105   山田                   139       
106   麦收                   137       
107   画图                   136       
108   明朝                   134       
109   五日                   134       
110   一天                   134       
111   翠柏                   134       
112   微风                   134       
113   四面                   133       
114   一日                   132       
115   池                    132       
116   水面                   130       
117   金山                   130       
118   玉河                   130       
119   十日                   129       
120   春色                   129       
121   云林                   129       
122   露珠                   128       
123   春云                   128       
124   远山                   127       
125   游山                   127       
126   青莲                   127       
127   麦苗                   126       
128   枝                    126       
129   数日                   125       
130   青山                   125       
131   过午                   125       
132   草                    124       
133   天下                   122       
134   古树                   122       
135   河南                   122       
136   湖                    122       
137   春霖                   122       
138   名山                   120       
139   麦秋                   120       
140   昨年                   119       
141   麦田                   118       
142   时节                   117       
143   十年                   117       
144   昔日                   117       
145   葱                    116       
146   冬雪                   116       
147   饼饵                   115       
148   风光                   115       
149   今春                   115       
150   石渠                   114       
151   临水                   114       
152   四季                   113       
153   秋成                   113       
154   月镜                   112       
155   积雪                   111       
156   谷                    110       
157   银                    109       
158   米                    109       
159   铜                    109       
160   昔年                   108       
161   高峰                   108       
162   草堂                   108       
163   一夜                   107       
164   清风                   107       
165   波                    106       
166   南华                   106       
167   崖                    106       
168   草木                   106       
169   飞泉                   106       
170   绿柳                   105       
171   微雨                   105       
172   入夜                   104       
173   八月                   104       
174   一枝                   103       
175   月光                   102       
176   万宝                   102       
177   美                    102       
178   七月                   102       
179   烟波                   102       
180   云云                   102       
181   波光                   101       
182   千峰                   101       
183   琉璃                   100       
184   壑                    99        
185   茶                    99        
186   云散                   99        
187   载                    99        
188   前年                   99        
189   临池                   98        
190   苍松                   98        
191   枝头                   98        
192   山川                   98        
193   秋雨                   98        
194   夕                    98        
195   果然                   98        
196   画意                   97        
197   山容                   97        
198   平湖                   95        
199   酒                    95        
200   清明                   94        
201   晚                    94        
202   云霞                   94        
203   四月                   94        
204   一朝                   93        
205   阵雨                   93        
206   夏日                   92        
207   山村                   92        
208   林下                   92        
209   流水                   91        
210   翠微                   91        
211   晚来                   91        
212   柳丝                   91        
213   惠山                   91        
214   绿树                   90        
215   明日                   90        
216   河                    90        
217   日日                   90        
218   松下                   89        
219   风物                   89        
220   贵                    89        
221   薰风                   88        
222   桃花                   88        
223   石泉                   88        
224   天花                   88        
225   昨夜                   88        
226   暮春                   88        
227   云山                   87        
228   民风                   87        
229   松柏                   87        
230   月华                   87        
231   星                    86        
232   池上                   86        
233   中秋                   86        
234   三秋                   86        
235   岩                    86        
236   明月                   86        
237   春山                   86        
238   晓                    85        
239   杨                    85        
240   麦穗                   85        
241   西风                   85        
242   江山                   85        
243   春麦                   84        
244   如云                   84        
245   风前                   84        
246   天子                   84        
247   溪堂                   84        
248   五更                   83        
249   暮                    83        
250   孤山                   83        
251   西北风                  83        
252   风雨                   83        
253   廿年                   83        
254   绿叶                   83        
255   五年                   82        
256   花木                   82        
257   仲秋                   82        
258   新月                   82        
259   一岁                   82        
260   泉石                   82        
261   入画                   82        
262   荷叶                   82        
263   湖光                   81        
264   雨后                   81        
265   指日                   81        
266   一年                   80        
267   云烟                   79        
268   椒                    79        
269   祈岁                   79        
270   李                    78        
271   木                    78        
272   春雪                   78        
273   天池                   77        
274   金川                   77        
275   松阴                   76        
276   图画                   76        
277   几枝                   76        
278   面                    76        
279   烟雨                   76        
280   烟花                   75        
281   莲花                   75        
282   湖心                   75        
283   星辰                   74        
284   云中                   74        
285   昨朝                   74        
286   千林                   73        
287   春园                   73        
288   碧水                   73        
289   山居                   72        
290   天籁                   72        
291   天边                   72        
292   绿水                   72        
293   九月                   72        
294   龙井                   72        
295   两月                   72        
296   湖水                   71        
297   两日                   71        
298   今秋                   71        
299   谷口                   71        
300   石壁                   71        
301   夏秋                   71        
302   雨丝                   70        
303   虽云                   70        
304   三代                   70        
305   此日                   70        
306   元宵                   70        
307   峰头                   70        
308   菜                    70        
309   春来                   69        
310   两年                   69        
311   云气                   69        
312   面前                   69        
313   早稻                   69        
314   画家                   69        
315   山堂                   69        
316   夏木翠                  69        
317   风来                   68        
318   水田                   68        
319   波澜                   68        
320   画舫                   68        
321   金石                   68        
322   溪流                   68        
323   壁                    68        
324   梅花                   68        
325   玉山                   68        
326   多年                   67        
327   兰亭                   67        
328   风度                   67        
329   水流                   67        
330   长春                   66        
331   春花                   66        
332   沧桑                   66        
333   金莲                   66        
334   峰顶                   66        
335   天成                   66        
336   终日                   66        
337   粟谷                   66        
338   山亭                   65        
339   春耕                   65        
340   荷                    65        
341   清秋                   65        
342   朝暮                   65        
343   丽日                   64        
344   天龙                   64        
345   西岭                   64        
346   香风                   64        
347   春意                   64        
348   古松                   64        
349   沧浪                   63        
350   盘山                   63        
351   落叶                   63        
352   水态                   63        
353   山云                   63        
354   卓午                   63        
355   房山                   63        
356   密云                   62        
357   红叶                   62        
358   午夜                   62        
359   玉食                   62        
360   五载                   62        
361   晨星                   62        
362   夜                    62        
363   秋收                   62        
364   碧波                   62        
365   正月                   62        
366   山泉                   62        
367   望月                   62        
368   山巅                   62        
369   沟壑                   61        
370   临风                   61        
371   韶华                   61        
372   山光                   61        
373   雨足                   61        
374   花红                   61        
375   少年                   61        
376   柳色                   61        
377   彻夜                   60        
378   天上                   60        
379   古月                   60        
380   收麦                   60        
381   长河                   60        
382   山花                   60        
383   星星                   60        
384   半夜                   60        
385   冬麦                   60        
386   青云                   59        
387   秋意                   59        
388   天佑                   59        
389   水阁                   59        
390   翠色                   59        
391   积水                   59        
392   园林                   58        
393   晓日                   58        
394   二麦                   58        
395   几日                   58        
396   秋天                   58        
397   菜花                   58        
398   稻田                   58        
399   秋色                   58        
400   双峰                   58        
401   液池                   58        
402   下河                   58        
403   农桑                   57        
404   丰年                   57        
405   河北                   57        
406   入夏                   57        
407   轻风                   57        
408   昨晚                   57        
409   甘雨                   56        
410   月影                   56        
411   玉树                   56        
412   溪水                   56        
413   前日                   56        
414   山西                   56        
415   同日                   56        
416   璧月                   56        
417   日夜                   56        
418   运河                   56        
419   皴秋岩                  56        
420   腊雪                   55        
421   白石                   55        
422   溪亭                   55        
423   秋霖                   55        
424   今夕                   55        
425   山林                   55        
426   黄花                   55        
427   石湖                   55        
428   红桃                   55        
429   开花                   55        
430   山斋                   55        
431   烹茶                   54        
432   黄金                   54        
433   叠石                   54        
434   侵晓                   54        
435   夏季                   54        
436   山楼                   54        
437   逮星                   54        
438   华滋                   53        
439   天宇                   53        
440   荷花                   53        
441   丹枫                   53        
442   湖山                   53        
443   秋景                   53        
444   朝夕                   53        
445   山鸟                   53        
446   高树                   53        
447   百岁                   53        
448   横岭                   53        
449   万寿山                  52        
450   水晶                   52        
451   山阳                   52        
452   秋日                   52        
453   石矶                   52        
454   朝阳                   52        
455   万峰                   52        
456   三山                   52        
457   天际                   52        
458   山雨                   52        
459   大岭                   52        
460   翠岩                   52        
461   终朝                   51        
462   凉风                   51        
463   风景                   51        
464   溪边                   51        
465   雨过                   51        
466   一峰                   51        
467   秋田                   51        
468   石洞                   51        
469   竹炉                   51        
470   海棠                   50        
471   雨雪                   50        
472   玉花                   50        
473   冬                    50        
474   晚风                   50        
475   星斗                   50        
476   崇山                   50        
477   阅岁                   50        
478   明月清风                 50        
