================================================================================
意象统计总体信息
================================================================================

总词语数: 570,899
意象词语数: 157,100 (27.52%)
不同意象词语数: 26,941

================================================================================
所有意象词语频率排行（TOP 500）
================================================================================
排名    意象词语                 出现次数      
----------------------------------------
1     月                    5554      
2     山                    1607      
3     风                    1503      
4     山水                   1417      
5     水                    1329      
6     雪                    1159      
7     花卉                   977       
8     天                    929       
9     花                    739       
10    山庄                   731       
11    春雨                   642       
12    春风                   546       
13    邹一桂                  503       
14    玉河                   466       
15    江南                   457       
16    玉泉山                  456       
17    香山                   456       
18    昆明湖                  413       
19    玉泉                   394       
20    秋风                   386       
21    山房                   383       
22    春水                   354       
23    木兰                   350       
24    河南                   345       
25    狮子林                  329       
26    西湖                   327       
27    千秋                   325       
28    惠山                   319       
29    仲春                   316       
30    金山                   314       
31    夏日                   308       
32    山东                   305       
33    西山                   299       
34    白云                   288       
35    假山                   281       
36    桃花                   281       
37    金廷                   277       
38    避暑山庄                 277       
39    夕阳                   270       
40    画册                   261       
41    麦收                   260       
42    牡丹                   250       
43    春光                   249       
44    秋水                   242       
45    祈年                   241       
46    细雨                   239       
47    春云                   226       
48    万寿山                  223       
49    月色                   222       
50    和阗玉                  219       
51    风月                   208       
52    汤泉                   206       
53    风流                   206       
54    云山                   200       
55    东风                   199       
56    山色                   197       
57    微雨                   195       
58    天恩                   195       
59    银河                   195       
60    草堂                   194       
61    弥月                   190       
62    芙蓉                   190       
63    早稻                   180       
64    流泉                   179       
65    风吹                   179       
66    长河                   176       
67    盘山                   176       
68    金风                   174       
69    二麦                   169       
70    畅春园                  169       
71    云楼                   168       
72    云林                   168       
73    石桥                   166       
74    月令                   160       
75    山阴                   159       
76    日月                   158       
77    天地                   158       
78    泉林                   157       
79    山田                   156       
80    竹炉                   156       
81    紫泉                   155       
82    游山                   152       
83    龙井                   150       
84    山西                   148       
85    江山                   145       
86    春色                   141       
87    灵岩                   139       
88    青莲                   138       
89    远山                   138       
90    画图                   137       
91    古树                   136       
92    微风                   134       
93    晓行                   134       
94    翠柏                   134       
95    山水画                  132       
96    月镜                   132       
97    松柏                   130       
98    金陵                   130       
99    春园                   130       
100   万泉                   130       
101   麦苗                   130       
102   平湖                   129       
103   积雪                   128       
104   青山                   128       
105   水面                   128       
106   玉兰                   128       
107   露珠                   128       
108   山村                   126       
109   秋成                   126       
110   麦田                   124       
111   麦秋                   124       
112   清明                   124       
113   阵雨                   122       
114   海棠                   122       
115   春霖                   122       
116   清河                   120       
117   云岩                   120       
118   画舫                   118       
119   新春                   118       
120   石渠                   118       
121   祈雨                   117       
122   时节                   117       
123   华宫                   117       
124   翠微                   116       
125   冬雪                   116       
126   名山                   116       
127   饼饵                   115       
128   风光                   115       
129   石舫                   115       
130   临水                   115       
131   入夜                   114       
132   飞泉                   114       
133   天池                   112       
134   清风                   111       
135   溪堂                   111       
136   高峰                   110       
137   石壁                   109       
138   天籁                   108       
139   松下                   108       
140   烟波                   107       
141   草木                   107       
142   常山                   107       
143   千林                   107       
144   绿云                   106       
145   苍松                   106       
146   南华                   106       
147   秋雨                   106       
148   山容                   105       
149   万宝                   105       
150   西北风                  104       
151   秋山                   104       
152   月光                   104       
153   春膏                   103       
154   松阴                   103       
155   液池                   103       
156   望雨                   102       
157   绿柳                   102       
158   秋麦                   102       
159   百花                   101       
160   山亭                   101       
161   波光                   100       
162   水仙                   100       
163   琉璃                   100       
164   云散                   99        
165   柳色                   99        
166   山川                   99        
167   临池                   99        
168   画意                   98        
169   枝头                   98        
170   明月                   98        
171   孤山                   97        
172   风雨                   97        
173   麦穗                   96        
174   山居                   96        
175   塞山                   96        
176   流水                   96        
177   梅花                   96        
178   石泉                   95        
179   薰风                   94        
180   天花                   94        
181   天成                   94        
182   云霞                   94        
183   石湖                   93        
184   月华                   93        
185   朝阳                   92        
186   溪水                   92        
187   金川                   92        
188   山楼                   92        
189   雪景                   91        
190   晚晴                   91        
191   荷叶                   91        
192   绿树                   91        
193   柳丝                   91        
194   双峰                   91        
195   水态                   91        
196   兰亭                   90        
197   仲秋                   90        
198   玉乳泉                  90        
199   油云                   90        
200   杏花                   90        
201   风物                   89        
202   碧峰                   88        
203   民风                   88        
204   烟雨                   88        
205   玉谷璧                  88        
206   湖山                   87        
207   天子                   87        
208   红叶                   86        
209   花朝                   86        
210   西风                   86        
211   沧浪                   86        
212   重华                   86        
213   春雪                   86        
214   书画                   85        
215   泉石                   85        
216   秋景                   85        
217   湖光                   85        
218   仲夏                   84        
219   入画                   84        
220   菜花                   84        
221   云云                   84        
222   花木                   83        
223   浙江                   83        
224   河间                   83        
225   王谷祥                  83        
226   云烟                   83        
227   长春                   83        
228   绿叶                   83        
229   古松                   82        
230   山云                   82        
231   华滋                   82        
232   秋收                   82        
233   风人                   82        
234   春麦                   82        
235   雨泛                   82        
236   湖南                   81        
237   山灵                   81        
238   灯词                   81        
239   如云                   80        
240   秋花                   80        
